,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Mar del Plata,8,AR,1551478343,48,-46.43,-67.52,69.69,4.74
1,Tuktoyaktuk,5,CA,1551474000,64,69.44,-133.03,-4.01,18.34
2,Conceicao das Alagoas,40,BR,1551474000,94,-19.91,-48.39,69.8,6.93
3,Mataura,92,NZ,1551478204,74,-46.19,168.86,59.0,8.99
4,Butaritari,56,KI,1551478641,100,3.07,172.79,82.65,16.49
5,Marystown,12,CA,1551478344,100,47.17,-55.16,25.0,11.01
6,Cape Town,0,ZA,1551478512,82,-33.93,18.42,68.0,4.7
7,Tautira,20,PF,1551478989,74,-17.73,-149.15,87.01,4.7
8,Provideniya,20,RU,1551478805,100,64.42,-173.23,21.72,9.1
9,Chapais,20,CA,1551477600,67,49.78,-74.86,19.4,10.29
10,Bambous Virieux,40,MU,1551478739,88,-20.34,57.76,80.6,8.05
11,Jamestown,0,AU,1551478652,39,-33.21,138.6,70.41,9.66
12,Tiksi,48,RU,1551478814,56,71.64,128.87,-11.58,2.95
13,Busselton,68,AU,1551478528,53,-33.64,115.35,52.0,7.43
14,Troitskoye,92,RU,1551479086,93,52.98,84.68,23.03,3.74
15,Puerto Ayora,20,EC,1551477600,62,-0.74,-90.35,87.8,8.05
16,Gayeri,24,BF,1551479088,26,12.65,0.49,70.68,6.42
17,Kodiak,90,US,1551479008,100,39.95,-94.76,37.0,3.36
18,Camden,90,US,1551479091,83,39.94,-75.12,35.01,5.82
19,Victoria Point,75,AU,1551479092,88,-27.58,153.3,71.01,8.05
20,Chokurdakh,20,RU,1551478968,46,70.62,147.9,-28.68,2.95
21,Key Largo,1,US,1551479061,61,25.09,-80.45,80.6,6.93
22,Hobart,0,AU,1551477668,34,-42.88,147.33,78.8,11.41
23,Rodrigues Alves,40,BR,1551477600,78,-7.74,-72.65,82.4,2.24
24,Rawson,0,AR,1551479099,52,-43.3,-65.11,67.17,11.9
25,Vestmannaeyjar,92,IS,1551479106,100,63.44,-20.27,40.26,8.77
26,Nuuk,20,GL,1551478968,37,64.17,-51.74,37.4,25.28
27,Tuatapere,12,NZ,1551478204,74,-46.13,167.69,59.0,8.99
28,Atuona,0,PF,1551478616,100,-9.8,-139.03,80.36,8.21
29,Narsaq,75,GL,1551477000,32,60.91,-46.05,39.2,14.99
30,Faanui,88,PF,1551478799,100,-16.48,-151.75,82.25,8.77
31,Hermanus,0,ZA,1551478575,93,-34.42,19.24,64.99,2.62
32,Codrington,75,AU,1551478740,94,-28.95,153.24,69.8,6.93
33,Maceio,20,BR,1551477600,74,-9.67,-35.74,80.6,8.05
34,Broome,76,GB,1551478714,87,52.47,1.45,46.99,8.05
35,Acoua,40,YT,1551477600,83,-12.72,45.06,82.4,9.17
36,Kitimat,75,CA,1551477600,51,54.02,-128.69,39.2,2.24
37,Kaitangata,32,NZ,1551478800,84,-46.28,169.85,53.45,10.78
38,Klaksvik,80,FO,1551477000,100,62.23,-6.59,44.6,10.29
39,Lashio,0,MM,1551479121,90,22.93,97.75,53.13,1.83
40,Berlevag,0,NO,1551477000,85,70.86,29.09,15.8,13.87
41,Jalu,20,LY,1551478845,58,29.03,21.55,51.06,4.52
42,Fairbanks,1,US,1551478807,78,64.84,-147.72,34.0,2.17
43,East London,92,ZA,1551478793,100,-33.02,27.91,71.63,2.28
44,North Bend,40,US,1551478598,81,43.41,-124.22,46.99,11.41
45,Punta Arenas,75,CL,1551477797,87,-53.16,-70.91,57.2,8.05
46,Brandon,90,US,1551479104,78,43.59,-96.57,19.4,8.05
47,Albany,1,US,1551478467,50,42.65,-73.75,37.4,5.82
48,Necochea,68,AR,1551478873,67,-38.55,-58.74,66.0,8.99
49,Rikitea,44,PF,1551478604,100,-23.12,-134.97,77.16,13.8
50,Kirakira,0,SB,1551479124,100,-10.46,161.92,82.02,4.74
51,Nikolskoye,0,RU,1551478508,73,59.7,30.79,19.4,6.71
52,Pangnirtung,75,CA,1551474000,76,66.15,-65.72,-7.61,13.87
53,Cherskiy,68,RU,1551478883,72,68.75,161.3,-6.63,6.98
54,Sisimiut,44,GL,1551478632,83,66.94,-53.67,10.02,1.16
55,Te Anau,0,NZ,1551479061,77,-45.41,167.72,48.81,0.94
56,Ushuaia,75,AR,1551477600,66,-54.81,-68.31,53.6,4.7
57,Dingle,0,PH,1551478896,89,11.0,122.67,71.22,11.79
58,Yellowknife,40,CA,1551477775,48,62.45,-114.38,-7.01,6.93
59,Port Alfred,24,ZA,1551478599,85,-33.59,26.89,68.0,1.99
60,Kavaratti,8,IN,1551478643,100,10.57,72.64,82.2,6.42
61,Oriximina,24,BR,1551479126,74,-1.77,-55.87,84.68,2.73
62,Havre-Saint-Pierre,20,CA,1551477600,57,50.23,-63.6,21.2,18.34
63,Dikson,24,RU,1551478617,76,73.51,80.55,-4.02,23.76
64,Hilo,90,US,1551478570,46,19.71,-155.08,73.4,8.05
65,Dunedin,0,NZ,1551478558,67,-45.87,170.5,60.01,8.99
66,Hue,20,VN,1551477600,100,16.47,107.58,71.6,2.24
67,Ossora,56,RU,1551479129,89,59.24,163.07,-10.95,2.28
68,Sept-Iles,20,CA,1551478703,41,50.2,-66.38,21.2,16.11
69,Vaini,0,IN,1551478724,73,15.34,74.49,57.36,2.39
70,Saint-Philippe,1,CA,1551478591,53,45.36,-73.48,27.0,3.74
71,Mahebourg,40,MU,1551478739,88,-20.41,57.7,80.6,8.05
72,Cidreira,24,BR,1551478636,65,-30.17,-50.22,78.33,11.45
73,Thompson,90,CA,1551474000,58,55.74,-97.86,-4.01,6.93
74,Bluff,8,AU,1551478749,69,-23.58,149.07,71.49,12.12
75,Saldanha,76,PT,1551478882,64,41.42,-6.55,51.42,6.53
76,Lebu,20,ET,1551474000,45,8.96,38.73,64.4,4.7
77,Qaanaaq,0,GL,1551478575,90,77.48,-69.36,-15.95,4.74
78,Fukue,75,JP,1551479048,65,35.03,136.69,48.0,19.46
79,Victoria,75,BN,1551477600,94,5.28,115.24,77.0,1.61
80,Itoman,75,JP,1551477360,93,26.12,127.67,68.0,3.18
81,Gat,0,SN,1551477600,12,14.69,-16.54,77.0,9.17
82,Longyearbyen,75,NO,1551477000,77,78.22,15.63,3.2,5.82
83,Waipawa,80,NZ,1551477916,71,-39.94,176.59,57.99,1.99
84,Pevek,48,RU,1551479039,90,69.7,170.27,-4.29,4.97
85,Ballinasloe,68,IE,1551479133,94,53.33,-8.22,46.16,6.64
86,Iqaluit,40,CA,1551477772,70,63.75,-68.52,-5.01,26.4
87,Yumen,0,CN,1551479133,63,40.29,97.04,19.43,8.99
88,Khani,90,GE,1551477600,100,41.96,42.96,33.8,5.82
89,Hithadhoo,80,MV,1551478530,100,-0.6,73.08,82.92,8.21
90,Erdenet,8,MN,1551479134,70,49.03,104.04,17.63,7.43
91,Bathsheba,20,BB,1551477600,69,13.22,-59.52,78.8,21.92
92,Vila Velha,20,BR,1551478688,78,-3.71,-38.6,82.4,4.7
93,Khatanga,20,RU,1551478675,49,71.98,102.47,-17.21,3.74
94,Kapaa,40,US,1551478594,44,22.08,-159.32,75.2,14.99
95,Darnah,76,LY,1551479134,100,32.77,22.64,59.61,18.72
96,Lompoc,90,US,1551478880,67,34.64,-120.46,61.0,4.7
97,Fershampenuaz,92,RU,1551479210,90,53.52,59.82,25.77,15.26
98,Gornyy,92,RU,1551479211,97,51.76,48.54,33.33,11.23
