,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Rikitea,20,PF,03/04/2019,96,-23.12,-134.97,81.71,14.0
1,Tuktoyaktuk,20,CA,03/04/2019,85,69.44,-133.03,12.2,11.41
2,Bud,0,NO,03/04/2019,100,62.91,6.91,34.0,18.34
3,Souillac,0,FR,03/04/2019,87,45.6,-0.6,48.99,8.05
4,Hyeres,0,FR,03/04/2019,72,43.12,6.14,57.99,8.05
5,Cabo San Lucas,5,MX,03/04/2019,47,22.89,-109.91,82.0,5.82
6,Barrow,0,AR,03/04/2019,46,-38.31,-60.23,63.04,5.61
7,Ust-Nera,8,RU,03/04/2019,43,64.57,143.24,-29.94,2.04
8,Waipawa,0,NZ,03/04/2019,44,-39.94,176.59,75.99,1.99
9,Buraydah,0,SA,03/04/2019,50,26.33,43.97,55.4,10.29
10,Hirado,20,JP,03/04/2019,93,33.32,129.49,46.0,9.17
11,Shiyan,92,CN,03/04/2019,99,32.65,110.78,43.15,2.37
12,Dingle,32,PH,03/04/2019,80,11.0,122.67,77.57,13.78
13,Rawson,68,AR,03/04/2019,24,-43.3,-65.11,67.18,19.26
14,Nakamura,20,JP,03/04/2019,61,35.17,136.87,55.99,26.4
15,Santo Antonio do Sudoeste,0,BR,03/04/2019,77,-26.07,-53.73,77.62,4.5
16,Beringovskiy,0,RU,03/04/2019,86,63.05,179.32,31.27,17.13
17,Albany,1,US,03/04/2019,52,42.65,-73.75,26.6,17.22
18,Port Lincoln,88,AU,03/04/2019,96,-34.72,135.86,66.37,9.64
19,Bambous Virieux,40,MU,03/04/2019,83,-20.34,57.76,78.8,4.7
20,Ponta do Sol,92,BR,03/04/2019,87,-20.63,-46.0,66.82,4.05
21,Port Elizabeth,1,US,03/04/2019,47,39.31,-74.98,37.4,8.05
22,Kariapatti,20,IN,03/04/2019,74,9.68,78.1,78.8,2.48
23,Puerto Ayora,75,EC,03/04/2019,74,-0.74,-90.35,82.4,9.17
24,Winnemucca,75,US,03/04/2019,61,40.97,-117.74,48.2,4.7
25,Ushuaia,75,AR,03/04/2019,61,-54.81,-68.31,51.8,19.46
26,Adrar,0,DZ,03/04/2019,18,27.87,-0.29,62.6,10.29
27,Talnakh,80,RU,03/04/2019,84,69.49,88.39,21.14,17.58
28,Haines Junction,12,CA,03/04/2019,81,60.75,-137.51,12.55,2.59
29,Pekan,75,MY,03/04/2019,94,3.49,103.39,73.4,3.36
30,Arraial do Cabo,76,BR,03/04/2019,90,-22.97,-42.02,80.77,12.44
31,Busselton,0,AU,03/04/2019,48,-33.64,115.35,64.99,26.87
32,Jamestown,44,AU,03/04/2019,100,-33.21,138.6,68.8,4.27
33,Salalah,0,OM,03/04/2019,64,17.01,54.1,75.2,3.36
34,Bredasdorp,12,ZA,03/04/2019,72,-34.53,20.04,64.4,1.12
35,Airai,8,TL,03/04/2019,81,-8.93,125.41,76.09,1.59
36,San Carlos del Zulia,8,VE,03/04/2019,55,9.0,-71.91,87.47,5.95
37,Banda Aceh,20,ID,03/04/2019,98,5.56,95.32,72.31,1.14
38,Paamiut,68,GL,03/04/2019,100,61.99,-49.67,26.59,13.89
39,Butaritari,76,KI,03/04/2019,100,3.07,172.79,82.93,19.48
40,Avarua,88,CK,03/04/2019,54,-21.21,-159.78,82.4,10.29
41,Mataura,0,NZ,03/04/2019,68,-46.19,168.86,75.99,1.99
42,Yumen,12,CN,03/04/2019,77,40.29,97.04,19.79,5.95
43,Egvekinot,68,RU,03/04/2019,92,66.32,-179.17,27.04,8.97
44,North Bend,1,US,03/04/2019,52,43.41,-124.22,50.0,6.93
45,Los Llanos de Aridane,0,ES,03/04/2019,59,28.66,-17.92,62.6,8.05
46,Leh,12,IN,03/04/2019,75,34.16,77.58,-14.14,1.7
47,Tura,92,IN,03/04/2019,94,25.52,90.21,59.39,2.93
48,Manicore,36,BR,03/04/2019,75,-5.81,-61.3,81.76,1.81
49,Kavaratti,12,IN,03/04/2019,100,10.57,72.64,81.17,10.2
50,Lavrentiya,88,RU,03/04/2019,97,65.58,-170.99,30.82,12.44
51,Prudentopolis,36,BR,03/04/2019,91,-25.21,-50.98,68.35,3.38
52,Beloha,32,MG,03/04/2019,92,-25.17,45.06,74.56,6.73
53,Iwanai,36,JP,03/04/2019,98,42.97,140.51,35.5,6.06
54,Stephenville,90,US,03/04/2019,50,32.22,-98.2,32.0,11.41
55,Surt,0,LY,03/04/2019,100,31.21,16.59,49.99,2.82
56,Columbia,1,US,03/04/2019,56,38.95,-92.33,17.6,11.41
